,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
53,0065.00055,1530,,,2010-04-19,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",500.000,m3
54,0065.00055,2910,D,2,2010-04-19,En fonctionnement,D,A2,2910,Combustion,2.500,MW
55,0065.00055,1185,D,,,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
57,0065.00055,4130,D,b,2010-04-19,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
59,0065.00055,4110,A,a,2010-04-19,En fonctionnement,A,a,4110,Toxicité aiguë catégorie 1,,
60,0065.00055,4140,D,b,2010-04-19,En fonctionnement,D,b,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
61,0065.00055,2564,,,2010-04-19,En fonctionnement,,,2564,"Nettoyage, dégraissage, décapage de surfaces utilisant des liquides organohalogénés ou des solvants organiques",0.000,
62,0065.00055,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,125.000,kW
63,0065.00055,2790,A,,2010-04-19,En fonctionnement,A,1b,2790,Traitement de déchets dangereux,30.000,t
65,0065.00055,4440,D,2,2013-01-31,En fonctionnement,D,2,4440,"Solides comburants catégorie 1,2 ou 3",,
66,0065.00055,1510,E,b,,En fonctionnement,E,2,1510,Entrepot enregistré,50500.000,m3
67,0065.00055,2940,,2,,En fonctionnement,,2,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",9.000,kg/j
68,0065.00055,2565,D,b,2010-04-19,En fonctionnement,D,2b,2565,Traitement de surface,450.000,L
69,0065.00055,2940,,,2010-04-19,En fonctionnement,,,2940,"Application, cuisson, séchage de vernis, peinture, apprêt, colle, enduit, etc.",0.000,
70,0065.00055,3330,A,,,En fonctionnement,A,,3330,Fabrication du verre,31.000,t/j
71,0065.00055,2921,D,b,2014-09-25,En fonctionnement,D,b,2921,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,337.000,kW
72,0065.00055,2560,D,2,2010-04-19,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",999.000,kW
73,0065.00055,2515,D,b,2010-04-19,En fonctionnement,D,2,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",199.000,kW
74,0065.00055,4511,,,2010-04-19,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
75,0065.00055,4331,,,2010-04-19,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
76,0065.00055,2575,D,,2010-04-19,En fonctionnement,D,,2575,Emploi de matières abrasives,25.000,kW
77,0065.00055,2524,D,,2002-04-30,En fonctionnement,D,,2524,"Taillage, sciage et polissage de minéraux naturels ou artificiels",40.000,kW
80,0065.00060,2510,A,1,2006-06-21,En fonctionnement,A,1,2510,Carrières (exploitation de),800000.000,t
81,0065.00062,2510,A,1,2006-06-23,En fonctionnement,A,1,2510,Carrières (exploitation de),0.000,
82,0065.00062,2515,E,a,2006-06-23,En fonctionnement,A,1,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",800.000,kW
83,0065.00067,1435,,,,En fonctionnement,,,1435,Stations service,300.000,m3
84,0065.00067,2515,E,a,,En fonctionnement,A,a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2548.000,kW
85,0065.00067,47xx,,,,En fonctionnement,,,47xx,,,
86,0065.00067,2930,,1,,En fonctionnement,,1,2930,Ateliers de réparation et entretien de véhicules à moteur,290.000,m2
87,0065.00067,2510,A,1,,En fonctionnement,A,1,2510,Carrières (exploitation de),550000.000,
88,0065.00079,2510,A,1,2016-02-09,En fonctionnement,A,1,2510,Carrières (exploitation de),300000.000,
89,0065.00079,2515,D,b,2016-02-09,En fonctionnement,D,2,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",63.000,kW
90,0065.00081,2160,A,a,1986-02-19,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,33012.000,m3
91,0065.00081,2260,D,b,2007-07-20,En fonctionnement,D,2b,2260,Supérieure à 100 kW mais inférieure ou égale à 500 kW,140.000,kW
92,0065.00081,2910,D,2,2013-02-21,En fonctionnement,D,A2,2910,Combustion,19.160,MW
93,0065.00081,47xx,,,,En fonctionnement,,,47xx,,,
94,0065.00108,4511,A,1,,En fonctionnement,A,1,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
95,0065.00108,4130,,2,,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
96,0065.00108,47xx,,,,En fonctionnement,,,47xx,,,
97,0065.00108,1434,A,2,,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,20.000,
98,0065.00108,4120,,2,,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
99,0065.00117,2450,D,b,1989-04-05,En fonctionnement,D,3b,2450,Imprimeries ou reproduction graphique utilisant une forme imprimante,220.000,kg/j
100,0065.00117,2450,A,a,1989-04-05,En fonctionnement,A,1,2450,Imprimeries ou reproduction graphique utilisant une forme imprimante,0.000,
101,0065.00117,1530,D,2,1988-09-26,En fonctionnement,D,,81,"Bois, papier, carton ou analogues (dépôt de) hors ERP",0.000,m3
102,0065.00137,2510,A,1,1989-07-07,En fonctionnement,A,1,2510,Carrières (exploitation de),450000.000,t/an
103,0065.00137,1432,D,b,1994-02-07,En fonctionnement,D,2,253,Liquides inflammables (stockage),66.000,m3
104,0065.00137,2515,E,a,1994-02-07,En fonctionnement,A,1,89,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1008.000,kW
105,0065.00137,1434,D,b,1994-02-07,En fonctionnement,D,A2,261,Liquides inflammables (remplissage ou distribution) autres que 1435,3.000,m3/h
106,0065.00137,2910,D,2,1994-02-07,En fonctionnement,D,B2,153,Combustion,13.000,MW
107,0065.00142,2415,A,1,2005-04-15,En fonctionnement,A,1,2415,Mise en oeuvre de produits de préservation du bois et dérivés,44604.000,L
108,0065.00142,1434,,,2005-04-15,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.600,m3/h
109,0065.00142,1530,,,2005-04-15,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",500.000,m3
110,0065.00142,2410,D,2,2005-04-15,En fonctionnement,D,2,2410,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",190.000,kW
111,0065.00142,1432,,,2005-04-15,En fonctionnement,,,1432,Liquides inflammables (stockage),0.800,m3
112,0065.00142,1131,D,1c,1998-07-03,En fonctionnement,D,1c,1131,Toxiques (emploi ou stockage),47.400,t
113,0065.00142,2940,,,2005-04-15,En fonctionnement,,,2940,"Application, cuisson, séchage de vernis, peinture, apprêt, colle, enduit, etc.",2.600,kg/j
114,0065.00180,2340,E,1,2016-03-16,En fonctionnement,E,1,2340,"Blanchisseries, laveries de linge",75.000,t/j
115,0065.00180,2910,D,2,2016-03-16,En fonctionnement,D,2,2910,Combustion,8.745,MW
116,0065.00180,4331,,,2016-03-16,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
117,0065.00180,4510,,,2016-03-16,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
118,0065.00180,47xx,,,,En fonctionnement,,,47xx,,,
119,0065.00180,1435,,,2016-03-16,En fonctionnement,,,1435,Stations service,30.000,m3
120,0065.00219,2515,E,a,2015-01-19,En fonctionnement,A,1a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1650.000,kW
121,0065.00219,2510,A,1,2015-01-19,En fonctionnement,A,1,2510,Carrières (exploitation de),300000.000,
122,0065.00224,2925,D,1,1999-06-29,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,120.000,kW
123,0065.00224,2910,,,1999-06-29,En fonctionnement,,,2910,Installation de combustion,0.700,MW
124,0065.00224,1510,A,a,1999-06-29,En fonctionnement,A,1,1510,Entrepot autorisé,396000.000,m3
125,0065.00226,2925,D,1,1998-11-03,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,160.000,kW
126,0065.00226,1510,E,b,2012-01-17,En fonctionnement,E,2,1510,Entrepot enregistré,65360.000,m3
127,0065.00229,2910,D,2,2008-08-21,En fonctionnement,D,A2,2910,Combustion,2.500,MW
128,0065.00229,1434,D,b,1998-06-17,En fonctionnement,D,1b,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,5.000,m3/h
129,0065.00229,1432,,,1998-06-17,En fonctionnement,,,1432,Liquides inflammables (stockage),2.400,m3
130,0065.00229,1510,A,a,1998-06-17,En fonctionnement,A,1,1510,Entrepot autorisé,14000.000,m3
131,0065.00229,2925,D,1,1998-06-17,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,20.000,kW
132,0065.00230,2450,D,b,2015-03-19,En fonctionnement,D,2b,2450,Imprimeries ou reproduction graphique utilisant une forme imprimante,80.000,kg/j
133,0065.00230,2940,E,a,2015-03-19,En fonctionnement,A,2a,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",500.000,kg/j
134,0065.00230,2663,,2,2015-03-19,En fonctionnement,,2,2663,Stockage de pneumatiques,1000.000,m3
135,0065.00230,2565,D,3,2015-03-19,En fonctionnement,D,3,2565,Traitement de surface en phase gazeuse,1.000,
136,0065.00230,1510,D,c,2015-03-19,En fonctionnement,D,3,1510,Entrepot déclaré,13952.000,m3
137,0065.00230,2565,E,a,2015-03-19,En fonctionnement,A,a,2565,Traitement de surface,8222.000,l
138,0065.00230,1530,,,2015-03-19,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",50.000,m3
139,0065.00230,2910,D,2,2015-03-19,En fonctionnement,D,2,2910,Combustion,1963.000,MW
140,0065.00230,1433,,B,2015-03-19,En fonctionnement,,B,1433,LIQUIDES INFLAMMABLES (MELANGE OU EMPLOI),0.400,t
141,0065.00230,1185,D,,2015-03-19,En fonctionnement,D,a,1185,Quantité susceptible d'être présente,375.000,kg
142,0065.00230,1432,D,b,2015-03-19,En fonctionnement,D,b,1432,Liquides inflammables (stockage),70.000,m3
143,0065.00230,2925,D,1,2015-03-19,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,50.000,kW
144,0065.00231,2795,D,2,2011-12-19,En fonctionnement,D,2,2795,"Lavage de fûts, conteneurs,... de substances ou mélanges ou de déchets dangereux",2.000,m3/j
145,0065.00231,3510,A,,,En fonctionnement,A,,3510,Traitement de déchets dangereux,50.000,t/j
146,0065.00231,3550,A,,,En fonctionnement,A,,3550,stockage temporaire de déchets,300.000,t
147,0065.00231,1200,,,2010-01-08,En fonctionnement,,,1200,"Comburants (fabrication, emploi, stockage)",2.000,t
148,0065.00231,2799,A,,2010-01-08,En fonctionnement,A,,2799,Déchets provenant d'installations nucléaires de base,0.000,
149,0065.00231,1173,,,2010-01-08,En fonctionnement,,,1173,DANGEREUX POUR L'ENVIRONNEMENT - TOXIQUES (STOCKAGE ET EMPLOI),123.000,t
150,0065.00231,1432,A,a,2010-01-08,En fonctionnement,A,2a,1432,Liquides inflammables (stockage),454.000,m3
151,0065.00231,2716,D,2,2011-12-19,En fonctionnement,D,2,2716,déchets non dangereux non inertes (transit),7500.000,m3
152,0065.00231,1434,,,2010-01-08,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.920,m3/h
153,0065.00231,1172,,,2010-01-08,En fonctionnement,,,1172,DANGEREUX POUR L'ENVIRONNEMENT - TRES TOXIQUES (STOCKAGE ET EMPLOI),10.000,t
154,0065.00231,2792,A,a,2010-01-08,En fonctionnement,A,2a,1180,"Déchets PCB/PCT (transit, tri, regroupement)",0.000,L
155,0065.00231,2790,A,,2011-12-19,En fonctionnement,A,1b,2790,Traitement de déchets dangereux,15.500,
156,0065.00231,2718,A,1,2010-01-08,En fonctionnement,A,a,167,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),1500.000,t/an
157,0065.00231,2714,,,2010-01-08,En fonctionnement,A,,329,"Transit, regroupement ou tri de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",20.000,t
158,0065.00231,1432,,,,En fonctionnement,,,1432,Liquides inflammables (stockage),1.680,
159,0065.00231,1435,D,2,2011-12-19,En fonctionnement,D,3,1435,Stations-service,350.000,m3
160,0065.00231,2718,A,1,2011-12-19,En fonctionnement,A,1,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),1.500,t
162,0065.00231,2711,,,2010-01-08,En fonctionnement,,,2711,"Transit, regroupement ou tri de déchets d’équipements électriques et électroniques",180.000,m3
163,0065.00231,2713,,,2010-01-08,En fonctionnement,,,2713,"Transit, regroupement ou tri de métaux ou de déchets de métaux non dangereux",45.000,
164,0065.00231,2910,,,2010-01-08,En fonctionnement,,,2910,Installation de combustion,45.000,kW
165,0065.00231,2791,A,1,2010-01-08,En fonctionnement,A,c,167,Déchets non dangereux (traitement),15500.000,t/an
166,0065.00231,2930,,,2010-01-08,En fonctionnement,,,2930,Ateliers de réparation et d'entretien de véhicules à moteurs,500.000,m2
167,0065.00231,2714,D,2,2011-12-19,En fonctionnement,D,2,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",260.000,m3
168,0065.00231,2712,E,1,2010-01-08,En fonctionnement,A,,286,"Stockage, dépollution, démontage,… de VHU",45.000,m2
169,0065.00231,1611,,,2010-01-08,En fonctionnement,,,1611,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",40.000,t
170,0065.00231,2716,E,1,2010-01-08,En fonctionnement,A,A,322,déchets non dangereux non inertes (transit),7500.000,m3/an
171,0065.00231,2790,A,,2011-12-19,En fonctionnement,A,2,2790,Traitement de déchets dangereux,15.500,
172,0065.00231,1630,,,2010-01-08,En fonctionnement,,,1630,Emploi ou stockage de lessives de soude ou de potasse caustique,40.000,t
174,0065.00231,2714,D,2,2010-01-08,En fonctionnement,,B2,98,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",60.000,m3
176,0065.00234,4220,D,3,2001-01-11,En fonctionnement,D,4a,1311,Produits explosifs (stockage de),,
177,0065.00234,2910,D,2,2011-01-11,En fonctionnement,D,A2,2910,Combustion,2.300,MW
178,0065.00234,1412,,,,En fonctionnement,,,1412,Gaz inflammables liquéfiés (stockage),30.000,
179,0065.00234,2925,D,1,1998-11-24,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,60.000,kW
180,0065.00234,1510,E,b,1997-03-20,En fonctionnement,E,2,1510,Entrepot enregistré,238066.000,m3
181,0065.00234,1432,,,,En fonctionnement,,,1432,Liquides inflammables (stockage),0.030,
182,0065.00236,2910,,,1994-06-08,En fonctionnement,,,2910,Installation de combustion,1.560,MW
183,0065.00236,2925,D,1,1994-06-08,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,160.000,kW
184,0065.00236,1510,E,b,1994-06-08,En fonctionnement,E,2,1510,Entrepot enregistré,159000.000,m3
185,0065.00237,1111,A,2b,2016-02-11,En fonctionnement,A,2b,1111,Très toxiques (emploi ou stockage),0.840,t
186,0065.00237,2562,A,1,2016-02-11,En fonctionnement,A,1,2562,Chauffage et traitement industriels par l’intermédiaire de bains de sels fondus ,2640.000,L
187,0065.00237,1111,D,1c,2016-02-11,En fonctionnement,D,1c,1111,Très toxiques (emploi ou stockage),550.000,kg
188,0065.00237,2561,D,,2016-02-11,En fonctionnement,D,,2561,"Trempé recuit, revenu des métaux et alliages",0.000,
189,0065.00237,2575,D,,2016-02-11,En fonctionnement,D,,2575,Emploi de matières abrasives,1200.000,kW
190,0065.00237,2560,E,1,2016-02-11,En fonctionnement,E,1,2560,Supérieure à 1 000 kW,2500.000,kW
191,0065.00237,2565,D,b,2016-02-11,En fonctionnement,D,b,2565,Traitement de surface,636.000,L
192,0065.00238,2910,D,2,2014-10-30,En fonctionnement,D,2,2910,Combustion,6.482,MW
193,0065.00238,1185,D,,2014-10-22,En fonctionnement,D,2a,1185,Quantité susceptible d'être présente,388.000,kg
194,0065.00238,2925,D,1,2014-10-22,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,130.000,kW
195,0065.00238,1532,E,a,2014-10-30,En fonctionnement,E,2,1532,Stockage de bois enregistré,22180.000,m3
196,0065.00238,2950,D,2b,2014-10-22,En fonctionnement,D,2b,2950,Traitement et développement des surfaces photosensibles,6000.000,m2
197,0065.00238,1530,D,2,2014-10-22,En fonctionnement,D,3,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",12400.000,m3
198,0065.00242,4510,D,2,2011-04-04,En fonctionnement,D,3,1220,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
199,0065.00242,2560,D,2,2011-04-04,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",127.570,kW
200,0065.00242,2565,D,3,2017-11-29,En fonctionnement,D,3,2565,Traitement de surface en phase gazeuse,0.000,
201,0065.00242,2565,E,a,2011-04-04,En fonctionnement,A,2a,2565,Traitement de surface,1850.000,L
202,0065.00242,2940,D,b,2017-11-29,En fonctionnement,D,2b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",16.000,kg/j
203,0065.00243,1510,E,b,1991-11-15,En fonctionnement,A,1,183,Entrepot enregistré,100000.000,m3
204,0065.00247,1510,A,a,1998-07-10,En fonctionnement,A,1,1510,Entrepot autorisé,67000.000,m3
205,0065.00247,2930,,,1998-07-10,En fonctionnement,,,2930,Ateliers de réparation et d'entretien de véhicules à moteurs,238.000,m2
206,0065.00247,1432,,2,,En fonctionnement,,2,1432,Liquides inflammables (stockage),0.024,
207,0065.00247,1434,D,b,1998-07-10,En fonctionnement,D,1b,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,1.000,m3/h
208,0065.00247,1510,E,b,,En fonctionnement,E,2,1510,Entrepot enregistré,67.000,m3
209,0065.00247,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,0.950,kW
210,0065.00247,2255,D,3,,En fonctionnement,D,3,2255,"Alcools de bouche,eaux-de-vie,liqueurs(stockage)",500.000,m3
211,0065.00247,2925,D,1,1998-07-10,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,30.000,kW
212,0065.00247,1432,,,1998-07-10,En fonctionnement,,,1432,Liquides inflammables (stockage),0.600,m3
213,0065.00247,2910,,,1998-07-10,En fonctionnement,,,2910,Installation de combustion,0.950,
214,0065.00251,2510,A,1,1995-12-05,En fonctionnement,A,1,2510,Carrières (exploitation de),615000.000,t/an
215,0065.00251,2910,D,2,2010-08-20,En fonctionnement,D,A2,2910,Combustion,13.850,MW
216,0065.00251,2515,A,1,2010-08-20,En fonctionnement,A,1,2515,"Broyage, concassage, criblage... de pierres... et autres minéraux",1430.000,kW
217,0065.00254,2910,D,2,1988-12-30,En fonctionnement,D,A2,2910,Combustion,13.900,MW
218,0065.00254,2160,A,a,1988-12-30,En fonctionnement,A,1a,2160,Silos autres que plats autorisés,56000.000,u éq.
219,0065.00280,2510,A,1,2002-03-07,En fonctionnement,A,1,2510,Carrières (exploitation de),47000.000,t/an
221,0065.00287,47xx,,,,En fonctionnement,,,47xx,,,
222,0065.00287,2663,D,b,1983-06-13,En fonctionnement,D,2c,2663,Stockage de pneumatiques,5600.000,m3
223,0065.00287,2661,E,b,1983-06-13,En fonctionnement,E,b,2661,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",10.500,t/j
224,0065.00287,2940,D,b,1983-06-13,En fonctionnement,D,2b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",11.000,kg/j
225,0065.00287,2661,D,b,1983-06-13,En fonctionnement,,3,96,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",0.000,
226,0065.00288,2712,E,1,2009-10-07,En fonctionnement,A,,286,"Stockage, dépollution, démontage,… de VHU",0.000,m2
227,0065.00288,2714,E,1,1977-02-18,En fonctionnement,A,,329,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",0.000,t
228,0065.00296,1530,E,1,1997-07-09,En fonctionnement,E,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",50000.000,m3
229,0065.00296,1510,E,b,1997-07-09,En fonctionnement,E,2,1510,Entrepot enregistré,103500.000,m3
230,0065.00303,1435,D,2,2011-03-29,En fonctionnement,D,3,1435,Stations-service,150.000,m3
231,0065.00303,2711,D,2,2011-03-29,En fonctionnement,D,2,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",850.000,m3
232,0065.00303,2714,E,1,2011-03-29,En fonctionnement,A,1,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",2400.000,m3
233,0065.00303,1432,D,b,2011-03-29,En fonctionnement,D,2b,1432,Liquides inflammables (stockage),15.000,m3
234,0065.00303,2716,E,1,2011-03-29,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),1300.000,m3
235,0065.00306,2560,D,2,2005-03-31,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",500.000,kW
236,0065.00306,2940,D,b,2005-03-31,En fonctionnement,D,3b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",100.000,kg/j
237,0065.00306,2564,E,a,2005-03-31,En fonctionnement,A,1,2564,Supérieur à 1 500 l,9000.000,L
238,0065.00322,2221,D,2,2019-01-08,En fonctionnement,D,2,2221,"Supérieure à 500 kg/j, mais inférieure ou égale à 4 t/j",990.000,t/j
239,0065.00322,1432,D,b,1998-10-22,En fonctionnement,D,2,253,Liquides inflammables (stockage),60.000,m3
240,0065.00322,1185,,,2019-01-08,En fonctionnement,,,1185,Gaz à effet de serre fluorés ou substances qui appauvrissent la couche d'ozone,1274.400,
241,0065.00322,47xx,,,,En fonctionnement,,,47xx,,,
242,0065.00322,1434,A,a,1998-10-22,En fonctionnement,A,1a,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,33.600,m3/h
